,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.22_P,GLC_CHEM_mu=0.26_P,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.40_V,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.41_P,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GLC_CHEM_mu=0.46_P,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.49_V,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.51_P,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S
MGSA,5.2382455054379096e-06,4.86773610344046e-06,5.05612812493776e-06,2.86649333067586e-06,4.413e-06,2.88785196471003e-06,2.46815328451788e-06,1.74013669970526e-06,5.19383319964482e-06,2.6360000000000003e-06,5.28353293055697e-06,5.417717893872701e-06,2.22739168989578e-06,6.33218841886942e-06,3.8393672628714e-06,2.1520752891192903e-06,5.47569742034475e-06,3.5145538356824097e-06,6.2764760512759595e-06,2.12822213213336e-06,5.943e-06,2.48165940677676e-06,3.16508782220984e-06,4.8523577347724505e-06,1.65931313400693e-06,1.64484793741866e-06,2.1137738844897597e-06,3.0794031634165e-06,2.40433807988941e-06,2.11137319811832e-06,1.78312904271913e-06
AKGt2rpp_reverse,2.10838123609845e-06,2.20345834497413e-06,2.01761284985554e-06,2.02371393277542e-06,2.59144710403508e-06,1.5575440774806002e-06,6.648530987815711e-07,1.58822159832192e-06,4.900668225444139e-07,1.5580000000000002e-06,1.7863373241406899e-06,1.4969999999999998e-06,1.07159280135892e-06,5.47474650328189e-07,1.102e-06,1.08305325966035e-06,5.745123921490521e-07,5.22697240822912e-07,1.17923999249799e-06,8.32168340556648e-07,3.5452277239668e-07,5.94683360149269e-07,6.49119760039856e-07,1.2308602118274e-06,7.33750075762151e-07,8.69316563416439e-07,8.69316563416439e-07,4.39408506632504e-07,5.49562989689007e-07,4.42e-07,4.93062197418547e-07
URAt2pp,,,,,,4.58238652088342e-07,,,,5.93574716457506e-07,,,,,,,,,,6.06385964286981e-07,,,,,6.809999999999999e-07,,,,,,
MAN1PT2,,,,,,,,,,,,,,,,,,,,4.1558224782856204e-07,,,,,,,,,,,
SHCHD2,,1.64200020899515e-07,1.5e-07,,,,1.7759774556494e-07,,1.22516705636104e-07,,,1.3e-07,,1.6100000000000003e-07,,,1.74334794859023e-07,1.71631929822449e-07,1.65170422401999e-07,,1.5248291285878699e-07,1.67731204144666e-07,,1.6835474021955302e-07,,1.9478462416799897e-07,1.55106274800443e-07,1.06308509669154e-07,2.0608612113337802e-07,1.80197712560823e-07,1.92496885293542e-07
2AGPEAT141,,,5.806080143469191e-08,,,,,,,,,5.45126413470163e-08,,,,,,,,,,,,,,,,,,,
2AGPEAT140,,,5.806080143469191e-08,,,,,,,,,5.45126413470163e-08,,,,,,,,,,,,,,,,,,,
GHMT2r,3.01362654486721e-05,2.7146e-05,3.32446472214807e-05,4.29010698821271e-05,3.7357093787099894e-05,4.30427030235745e-05,5.7054414209824e-05,4.4943444127931e-05,3.97785489620649e-05,4.60242130313273e-05,3.59884071612795e-05,3.86578492752418e-05,4.5608e-05,6.15063616350323e-05,4.5695e-05,4.6493000000000004e-05,5.5276000000000004e-05,6.47052375430631e-05,6.42167237608516e-05,4.92922007554735e-05,5.35977438698636e-05,6.12104532943385e-05,4.68171337008591e-05,4.95973064686803e-05,5.27533178275943e-05,7.862445283314571e-05,9.00662459416808e-05,8.685405239969899e-05,8.317292372074559e-05,7.14942924477168e-05,6.659716803488871e-05
MOAT2,,1.21825821957705e-07,1.35475203347615e-07,,,,5.91992485216467e-08,,8.313633596735598e-08,,,1.42571523522966e-07,,1.2881756478310302e-07,,,1.0699999999999999e-07,1.01418867622356e-07,1.34441041489999e-07,,1.41e-07,5.71810923220451e-08,,2.17e-07,,5.04997173768886e-08,,1.09852126658126e-07,,9.519879154156699e-08,1.5199999999999998e-07
BWCOS,1.33346307295009e-06,1.13880659656115e-06,1.258e-06,1.02979934261938e-06,1.18753692534423e-06,1.0593153470640101e-06,1.8761607993014198e-06,1.05738013978735e-06,1.90338453398947e-06,1.026e-06,1.268e-06,1.19089154942713e-06,1.01141152617554e-06,1.7672159668682e-06,1.1573453085981899e-06,9.78822194051622e-07,1.6958020954468599e-06,1.2794380223128e-06,1.7169999999999998e-06,9.84111663938685e-07,1.63537924041049e-06,1.5858222937313801e-06,1.14728143634951e-06,1.19718926378349e-06,9.54059889415484e-07,1.8829180336239898e-06,1.937e-06,1.91e-06,3.20120441493846e-06,1.44158170048659e-06,2.18163136666015e-06
IPDPS,8.70524949510815e-07,3.2840004179903e-07,4.11264010162401e-07,7.75e-07,9.711636719976142e-07,,4.18948527999346e-07,,5.2069599895344e-07,,9.711636719976142e-07,5.15773452744847e-07,,7.245988019049559e-07,9.51e-07,7.28943748746744e-07,6.18096090863807e-07,5.26597966500694e-07,5.18558302889997e-07,6.61425530682263e-07,7.89099074044222e-07,5.489384862916329e-07,9.35940119127234e-07,5.35e-07,6.893856569609279e-07,5.51889768475996e-07,3.751407576568871e-07,7.93770205529685e-07,4.808676159778811e-07,6.459999999999999e-07,5.0657075077248e-07
